input,ingredient_name
6 to 8 cups sliced onions (4 or 5 large ones),onions
3 to 6 tablespoons butter,butter
Salt,Salt
1 cup basmati rice,rice
1 cup frozen green peas,peas
"1 cup fresh green beans, snapped into halves",beans
1 cup thinly sliced green or white cabbage,cabbage
Freshly ground black pepper,black pepper
Salt,Salt
1/2 pound dried white beans,beans
"1 pound cured ham (serrano or prosciutto), preferably in one piece",ham
"4 cloves garlic, minced",garlic
"2 leeks, white part only, thinly sliced",leeks
"1 onion, finely chopped",onion
3 tablespoons extra-virgin olive oil,olive oil
Juice of 1/2 lemon,lemon
5 tablespoons sugar,sugar
"1 ripe mango, peeled and cut lengthwise into 1/4-inch-thick slices",mango
"1 ripe pineapple, peeled, cored and cut into 1/4-inch-thick rings",pineapple
"1/4 cup chicken broth, homemade or low-sodium canned",chicken
1 tablespoon rice vinegar,rice vinegar
2 tablespoons orange juice,orange
1/2 tablespoon unsalted butter,butter
1/2 cup soy sauce,soy
1/2 cup plus 4 teaspoons sugar,sugar
"8 small boneless half-breasts of duck (about 6 ounces each), skinned",duck
Juice of 1/2 lime,lime
"24 jumbo shrimp, peeled with tail left on, deveined",shrimp
"Vegetable oil, for greasing baking sheet",vegetable oil
2 tablespoons all-purpose flour,flour
1/4 teaspoon ground turmeric,turmeric
1/2 teaspoon ground allspice,allspice
1/2 teaspoon cayenne,cayenne
"1 1 1/2-inch slice fresh ginger, peeled and minced",ginger
"1 large clove garlic, peeled and minced",garlic
1/2 teaspoon freshly ground pepper,pepper
1 cup sugar,sugar
2 1/2 teaspoons kosher salt,salt
1 teaspoon cornstarch dissolved in 1 tablespoon cold water,cornstarch
1 teaspoon minced fresh ginger,ginger
1 1/2 teaspoons minced garlic,garlic
1 tablespoon corn or peanut oil,oil
1/4 cup water,water
1 teaspoon soy sauce,soy
1 tablespoon quality ketchup,ketchup
2 tablespoons sugar,sugar
1 1/2 tablespoons rice vinegar,rice vinegar
"2 scallions, minced",scallions
1/4 teaspoon dark sesame oil,sesame oil
2 egg whites,egg
"1 cup shiitake mushrooms, sliced thinly",shiitake mushrooms
"1 cup bamboo shoots, drained and sliced into matchsticks",bamboo shoots
"1 cake tofu, sliced into 1/4-inch cubes",tofu
"1 pound shrimp, cleaned, deveined and diced",shrimp
"1/2 pound squid, cleaned and sliced into matchsticks",squid
1/2 cup cornstarch,cornstarch
3 tablespoons black soy sauce,black soy
3 tablespoons finely ground black pepper,black pepper
1 tablespoon salt,salt
"4 cups vinegar, preferably molasses vinegar",vinegar
1/3 cup sugar,sugar
8 cups chicken broth,chicken
1 pound peeled baby carrots,carrots
Freshly ground pepper to taste,pepper
1 1/4 teaspoons kosher salt,salt
2 1/2 tablespoons sugar,sugar
1 1/2 tablespoons unsalted butter,butter
1 cup water,water
1 cup grated kefalotyri cheese or pecorino Romano,kefalotyri cheese
10 tablespoons fresh bread crumbs,bread crumbs
4 eggs,eggs
"White pepper, to taste",pepper
"2 cups hot, scalded milk",scalded milk
6 tablespoons unsalted butter,butter
4 tablespoons flour,flour
4 pinches freshly grated nutmeg,nutmeg
Black pepper to taste,Black pepper
1/2 cups dry white wine,wine
2 pounds ground lamb,lamb
2 tablespoons red wine vinegar,wine vinegar
1/2 teaspoon ground cinnamon,cinnamon
2 teaspoons dried oregano,oregano
"1/4 cup parsley, minced",parsley
"6 garlic cloves, chopped",garlic
1 28-ounce can crushed tomatoes in tomato puree,tomatoes
"4 medium onions, chopped",onions
"Kosher salt, to taste",salt
"6 tablespoons Greek olive oil, plus a little for coating the eggplants",olive oil
"4 large eggplants, about 1 1/2 pounds each",eggplants
"10 to 12 ounces mild cheddar cheese, grated",cheddar
nan,water
"1 teaspoon dry mustard, dissolved in 1 teaspoon water",mustard
1/4 teaspoon freshly ground black pepper,black pepper
1/4 teaspoon hot red-pepper sauce,redpepper
"12 ounces evaporated milk, heated until warm",evaporated milk
2 large eggs,eggs
1/2 pound elbow macaroni,elbow macaroni
"1 1/2 tablespoons melted butter, plus 4 tablespoons butter at room temperature",butter
"2 teaspoons salt, plus a pinch",salt
Freshly ground white pepper to taste,pepper
1 cup fresh bread crumbs from French or Italian bread,bread crumbs
3 extra-large eggs,eggs
1 teaspoon salt,salt
1 1/2 cups heavy cream,cream
2 large heads elephant garlic,elephant garlic
Coarse salt and freshly ground pepper to taste,Coarse salt pepper
1 to 2 cups chicken stock (preferably homemade),chicken
"1 pound chestnuts, peeled",chestnuts
2 tablespoons unsalted butter,butter
4 pints Brussels sprouts,Brussels sprouts
Coarse salt and freshly ground pepper,Coarse salt pepper
1/2 cup heavy cream,cream
4 tablespoons butter,butter
3 pounds potatoes,potatoes
2 pounds parsnips,parsnips
1 cup red wine,wine
8 strips of bacon,bacon
2 tablespoons melted butter for basting,butter
"1 cup walnuts, chopped ",walnuts
"1/3 cup parsley, chopped ",parsley
Coarse salt and freshly ground pepper to taste,salt
1 teaspoon dried thyme ,thyme
"4 stalks celery, finely chopped ",celery
"2 cloves garlic, minced",garlic
"1 large onion, chopped ",onion
1 tablespoon safflower or peanut oil ,oil
2 tablespoons unsalted butter,butter
1 cup dry red wine,wine
1/2 pound pitted prunes,prunes
4 slices white bread,bread
3/4 cup milk,milk
"1/2 pound sweet Italian sausage, casing removed",Italian sausage
1 bay leaf,bay
1 10- to 12-pound turkey,turkey
4 sprigs parsley,parsley
"2 stalks celery, sliced",celery
"1 carrot, sliced",carrot
"1 small onion, coarsely chopped",onion
Turkey neck and giblets,Turkey neck giblets
4 tablespoons finely chopped parsley,parsley
3 tablespoons vegetable oil,vegetable oil
Freshly ground pepper to taste,pepper
1 tablespoon red-wine vinegar,redwine vinegar
"1 red onion, about 1/3 pound",onion
1 tablespoon Dijon mustard,mustard
Salt to taste,Salt
3 heads medium-size Belgian endive,endive
"1/2 pound raw beets, trimmed",beets
"3/4 cup grated Parmesan cheese, optional",Parmesan cheese
4 quarts water,water
3/4 pound spaghetti,spaghetti
Salt and freshly ground pepper to taste,salt pepper
1/4 cup coarsely chopped fresh basil or Italian flat parsley,basil
1/4 teaspoon hot red pepper flakes,pepper flakes
1 teaspoon honey,honey
4 cups imported canned crushed tomatoes,tomatoes
1 tablespoon finely chopped garlic,garlic
4 tablespoons olive oil,olive oil
"1 eggplant, about 1 pound",eggplant
1 1/4 pounds medium-size shrimp,shrimp
"Freshly ground black pepper, to taste",black pepper
2 ounces grated Parmesan cheese,Parmesan cheese
"6 ounces mozzarella cheese, grated (about 1 1/2 cups)",mozzarella cheese
1 cup half-and-half,halfandhalf
"5 baking potatoes (each 6 to 8 ounces), washed and pricked a few times with a fork",potatoes
"Kosher salt, to taste",Kosher salt
"Freshly ground black pepper, to taste",black pepper
Pinch nutmeg,nutmeg
1 cup heavy cream,cream
"2 cloves garlic, peeled, smashed and minced",garlic
8 ounces grated Gruyere cheese,Gruyere cheese
"4 large cooked sweet potatoes (about 8 ounces each), peeled and cut into 1/4-inch slices",potatoes
1/4 cup golden raisins,raisins
1/2 cup heavy cream,cream
2 1/2 cups milk,milk
1/2 teaspoon ground cardamom,cardamom
1/4 cup brandy or cognac,brandy
1/2 teaspoon nutmeg,nutmeg
2 egg yolks,egg
3 eggs,eggs
3 tablespoons water,water
1 cup sugar,sugar
Pinch of nutmeg,nutmeg
Pinch of salt,salt
1 cup finely chopped pecans,pecans
"2 eggs, lightly beaten",eggs
2 tablespoons cognac,cognac
2 tablespoons sweet butter,butter
1 cup sugar,sugar
1/4 cup water,water
1/2 cup yellow cornmeal,cornmeal
4 Z cups milk,milk
2 egg whites,egg
3 egg yolks,egg
1/4 cup pine nuts,pine nuts
1/2 cup heavy cream,cream
1 1/2 cups milk,milk
10 slices good-quality stale white sandwich bread,sandwich bread
2 tablespoons water,water
3/4 cup sugar,sugar
1/2 cup finely chopped candied fruit,fruit
1/4 cup dark rum,dark rum
"4 small fresh trout, each about 3/4 pound, boned but left whole",trout
Salt and freshly ground black pepper,Salt black pepper
"Juice and zest of 1 lemon, plus a second lemon",lemon
1 tablespoon finely chopped fresh sage,sage
1 tablespoon finely chopped flat-leaf parsley,parsley
1 1/3 cups panko,panko
"2 cloves garlic, minced",garlic
1/2 cup finely chopped fennel bulb,fennel bulb
"1 medium onion, finely chopped",onion
"3 ounces slab bacon, diced",bacon
2 tablespoons extra virgin olive oil,olive oil
1 tablespoon finely chopped flat-leaf parsley,parsley
"1 pound perciatelli, bucatini or spaghetti",perciatelli
Salt,Salt
2 tablespoons drained capers,capers
1 cup golden raisins,raisins
1 tablespoon hot red pepper flakes,pepper flakes
1 1/2 cups panko,panko
1/3 cup extra virgin olive oil,olive oil
"Marmalade, jam, maple syrup or confectioners' sugar (optional)",Marmalade
1 1/2 tablespoons butter,butter
"2 slices good-quality white bread, each an inch thick",bread
1 cup panko,panko
Salt and freshly ground black pepper,Salt black pepper
1/3 cup half-and-half,halfandhalf
"2 teaspoons butter, optional",butter
2 eggs,eggs
"1 cup dry white wine, chicken or beef stock, or water",wine
4 anchovy fillets,anchovy
"3 or 4 cloves garlic, lightly mashed and peeled",garlic
Salt and freshly ground black pepper to taste,Salt black pepper
"4 center-cut slices veal shank, 2 pounds or more",veal shank
1 tablespoon olive oil,olive oil
1 tablespoon prepared horseradish,horseradish
1/2 cup whipped cream,whipped cream
1/2 cup heavy cream,cream
Salt and freshly ground black pepper,Salt black pepper
"4 smoked trout, about 7 ounces each, skinned and boned",trout
5 cups milk,milk
"2 1/2 cups diced, peeled boiling potatoes",potatoes
"1 cup chopped leeks, white part only",leeks
3 tablespoons butter,butter
1 tablespoon chopped parsley,parsley
1/4 cup lightly toasted hulled pumpkin seeds,pumpkin seeds
Salt and freshly ground black pepper,Salt black pepper
"4 cups chicken stock, preferably homemade 3 cups half-and-half",chicken
"6 cups peeled, cubed pumpkin (flesh of a three-pound pumpkin)",pumpkin
2 cups chopped shiitake mushrooms or plain white mushrooms,shiitake mushrooms
"1 clove garlic, minced",garlic
1 cup chopped onion,onion
1 tablespoon butter,butter
2 tablespoons olive oil,olive oil
"1/4 cup sliced almonds, lightly toasted",almonds
Juice of 1/2 lemon,lemon
Salt and freshly ground black pepper,Salt black pepper
1 1/2 cups heavy cream,cream
"8 cups chicken stock, preferably homemade",chicken
2 cups lentils,lentils
2 tablespoons curry powder,curry
"2 cloves garlic, minced",garlic
"2 medium-size tart apples, peeled, cored and chopped",tart apples
1 cup chopped onion,onion
2 tablespoons butter,butter
"1 3- to 4-pound chicken, preferably kosher or free-range, cut into 8 or 10 serving pieces",chicken
"1 1/2 to 2 cups slightly sweet riesling, preferably German",riesling
Salt and freshly ground black pepper,Salt black pepper
"4 medium to large onions (about 1 1/2 pounds), peeled and sliced",onions
"2 tablespoons butter or neutral-flavored oil, like canola",butter
12 scoops homemade or store-bought vanilla ice cream,ice cream
2 tablespoons Grand Marnier,Grand Marnier
1/2 cup heavy cream,cream
6 ounces bittersweet chocolate,bittersweet chocolate
"6 fully ripe pears, preferably Bosc or Bartlett",pears
"1 bottle dry red wine, preferably a heavy and coarse wine like a Zinfandel",wine
1/2 cup sugar,sugar
1 tablespoon black peppercorns,black peppercorns
1 orange,orange
1/2 teaspoon freshly grated nutmeg,nutmeg
"Freshly ground pepper, preferably white, to taste",pepper
"2 black truffles, optional",black truffles
1 1/2 cups creme fraiche or heavy cream,creme fraiche
1/4 pound or 1/2 cup plus 1 tablespoon butter,butter
"Salt to taste, if desired",Salt
"6 large potatoes, about 4 pounds, peeled",potatoes
Freshly ground pepper to taste,pepper
1 tablespoon red currant jelly,currant jelly
4 tablespoons cold butter,butter
2 cups heavy cream,cream
3 tablespoons olive oil,olive oil
"Salt to taste, if desired",Salt
1 tablespoon freshly ground black pepper,black pepper
1 2-inch length of stick cinnamon,cinnamon
2 1/2 cups port wine,port wine
"1 bottle dry red wine, preferably heavy and coarse like a Zinfandel",wine
1 tablespoon fresh or dried juniper berries,juniper berries
1 tablespoon whole black peppercorns,black peppercorns
"1 trimmed 3-ounce piece of fresh ginger, or 1 teaspoon dried ground ginger",ginger
"2 ribs celery, trimmed and coarsely chopped",celery rib
"1 carrot, about 1/4 pound, trimmed and cut into thin slices",carrot
6 small sprigs fresh rosemary or 1 teaspoon dried,rosemary
6 sprigs fresh thyme or 1 teaspoon dried,thyme
"6 cloves garlic, peeled and coarsely chopped",garlic
"2 medium-size onions, about 1/2 pound, thinly sliced",onions
1 8-pound well-trimmed saddle of venison with spine bone left intact,venison
1/4 cup finely chopped fresh cilantro,cilantro
2 tablespoons olive oil,olive oil
"2 small hot red or green peppers, stems removed",peppers
3 tablespoons butter,butter
2 tablespoons freshly squeezed lime juice,lime
Freshly ground pepper to taste,pepper
"Salt to taste, if desired",Salt
5 cups heavy cream,cream
"8 cups rich chicken broth, preferably homemade, although canned broth may be used",chicken
2 cups dry white wine,wine
"6 sprigs fresh thyme, finely chopped, or 1/2 teaspoon dried",thyme
"1 onion, about 1/2 pound",onion
"1 large carrot, about 5 ounces, trimmed and scraped",carrot
"60 littleneck clams, the smaller the better",littleneck clams
"6 ears shucked fresh corn on the cob, or 5 cups canned, well-drained or frozen whole-kernel corn",corn
1/4 cup finely chopped fresh coriander leaves,coriander leaves
1/4 cup olive oil,olive oil
"Salt to taste, if desired",Salt
"1 teaspoon ground pepper, preferably white",pepper
"2 tablespoons finely chopped seeded, deveined jalapeno peppers (add more or less according to taste)",jalapeno peppers
1/4 cup freshly squeezed lime juice,lime
"5 red, ripe tomatoes, about 2 1/2 pounds",tomatoes
1 cup finely chopped red onions,onion
"3 cups salsa (<a href=""http://cooking.nytimes.com/recipes/1678-salsa-a-cold-tomato-and-chili-dish-or-relish"">see recipe</a>)",salsa
2 tablespoons butter,butter
3 tablespoons olive oil,olive oil
"1/2 tablespoon ground pepper, preferably white",pepper
"1/2 tablespoon finely chopped fresh thyme leaves, or half the amount dried",thyme
6 tablespoons flour,flour
1 cup almond meal (see note),almond meal
24 shucked oysters with empty shells set aside,oysters
1 maraschino cherry,maraschino cherry
2 dashes orange bitters,orange bitters
2 dashes maraschino liqueur,maraschino liqueur
2 dashes Pernod,Pernod
1 ounce (3 tablespoons) dry vermouth,vermouth
1 ounce (3 tablespoons) gin,gin
"40 slices bread from a baguette, about 1 1/2 inches in diameter, toasted under the broiler",bread
"2 tablespoons chopped parsley or chives, or a mixture of both",parsley
"1 to 2 cloves garlic, peeled and chopped very fine (about 1 teaspoon)",garlic
"6 to 8 turkey livers, split into halves and the sinew trimmed from the center (see note)",turkey livers
1 tablespoon good olive oil,olive oil
Salt and freshly ground black pepper to taste,Salt black pepper
2 tablespoons unsalted butter,butter
"1/3 cup oil (half olive and half rape-seed oil or a mixture of olive, rapeseed and safflower oils - or 1/4 cup of the above oil and 2 tablespoons of the fat rendered by cooking the turkey skin)",oil
1/4 teaspoon salt,salt
1/2 teaspoon freshly ground black pepper,black pepper
1 tablespoon red-wine vinegar,redwine vinegar
"1 to 2 cloves garlic, peeled, crushed and finely chopped (1 teaspoon)",garlic
2 teaspoons Dijon-style mustard,Dijonstyle mustard
1 large or 2 smaller heads escarole (Choose escarole heads with the whitest possible insides. Green leaves tend to be tough and bitter.),escarole
Salt,Salt
Skin from 1 14-to-15 pound turkey (about 1 pound),turkey
A few drops of lemon juice,lemon
nan,water
A few drops of lemon juice,lemon
1 teaspoon potato starch dissolved in 1 tablespoon water (optional),potato starch
Salt and freshly ground black pepper to taste,Salt black pepper
1 1/2 cups heavy cream,cream
2 tablespoons Cognac,Cognac
1 tablespoon chopped garlic (about 3 cloves),garlic
1/2 cup chopped shallots (about 6 to 8),shallots
1 teaspoon freshly ground black pepper,black pepper
1 1/2 teaspoons salt,salt
3/4 stick butter,butter
"2 ounces dried shiitake mushrooms, soaked in 3 cups lukewarm water for 1 hour",shiitake mushrooms
"4 1/2 pounds of cleaned turkey breast cut into 12 large scaloppines, about 6 ounces each, pounded until about 3/8-inch thick",turkey
"1 cup tiny peas, blanched",tiny peas
"4 cups water (quantity may go from 3 to 5 cups, depending on the brown rice's absorption quality)",water
"1 cup dried tomatoes, cut into 1-inch pieces",tomatoes
1 1/2 cups brown rice,rice
1 teaspoon freshly ground black pepper,black pepper
2 teaspoons salt,salt
2 bay leaves,bay leaves
1/2 teaspoon pepper flakes,pepper flakes
1 teaspoon cumin powder,cumin
"1 piece ginger, peeled and finely chopped (about 2 tablespoons)",ginger
"5 cloves garlic, peeled and chopped (about 2 tablespoons)",garlic
"3 cups onions, cut into 1-inch dice",onions
"5 pounds of turkey meat from the legs, plus the 2 wings (wings cut at the joint into halves and each leg cut into 5 pieces, 2 from the drumstick and 3 from the thigh - 14 pieces altogether)",turkey meat
3 tablespoons butter,butter
2 tablespoons butter,butter
"1 medium head Boston lettuce (about 5 ounces), cut into a chiffonnade",Boston lettuce
1 teaspoon salt,salt
"1 pound peeled potatoes, cut into 1-inch cubes",potatoes
1 cup coarsely chopped leeks,leeks
1 cup coarsely chopped onions,onions
3 tablespoons butter,butter
1/2 teaspoon crushed peppercorns,peppercorns
12 bay leaves,bay leaves
1 teaspoon thyme leaves,thyme
12 cups water,water
3 pounds turkey bones,turkey bones
Cocoa for dusting (optional),Cocoa
"7 tablespoons unsalted butter at room temperature, cut into pieces",butter
1 3/4 cups heavy cream,cream
1 tablespoon sugar,sugar
1/4 cup rose syrup (see note),syrup
"1 pound plus 12 ounces bittersweet chocolate, finely chopped",chocolate
1 1/2 cups fresh raspberries,raspberries
About 1 1/2 cups flour,flour
1/2 cup white wine,wine
1 cup chicken broth,chicken
"1 chicken, whole or cut up",chicken
2 sprigs rosemary,rosemary
3 sprigs Italian parsley,Italian parsley
3 sprigs fresh thyme,thyme
Salt and freshly ground pepper,Salt pepper
"4 heads garlic, cloves separated but not peeled",garlic
"4 stalks celery, trimmed and quartered",celery
"8 carrots, peeled and quartered",carrots
"16 small onions or shallots, peeled and trimmed",onions
"16 small peeled potatoes (white or sweet) or 2 large peeled potatoes, each cut into 8 pieces",potatoes
1/3 cup olive oil,olive oil
1/4 cup sugar,sugar
"1/2 salt-preserved lemon, rinsed well (see note)",lemon
Extra virgin olive oil for drizzling on the plate,olive oil
1 teaspoon finely chopped parsley,parsley
Freshly ground pepper to taste,nan
1 teaspoon finely chopped black olives,black olives
1 teaspoon finely chopped chives,chives
Juice and zest of 1 lemon,lemon
"4 ounces smoked salmon, cut in strips",salmon
2 tablespoons sour cream,cream
Coarse salt to taste,salt
"3 to 4 tablespoons extra virgin olive oil, plus oil for greasing ring molds",olive oil
Coarse salt and freshly ground pepper to taste,salt pepper
1 tablespoon chopped black olives (optional),black olives
1 tablespoon fresh finely chopped parsley,parsley
3 tablespoons chopped chives,chives
1 extra-large egg,egg
"1 pound baby Yukon Gold potatoes (approximately 6 small potatoes), peeled and grated",potatoes
3/4 teaspoon vanilla extract (see note),vanilla
4 cups skim milk,skim milk
1/3 cup hot water,water
1/4 cup plus 1 tablespoon unsweetened cocoa,cocoa
1/2 cup sugar,sugar
2 cups couscous,couscous
Water,Water
"Fresh coriander, if desired",coriander
"Salt, if desired",salt
Freshly ground black pepper to taste,black pepper
"1 28-ounce can plum tomatoes, drained",plum tomatoes
1 pound broccoli florets,broccoli florets
8 ounces cauliflower florets,cauliflower florets
8 ounces carrot sticks,carrot
1/4 to 1/2 teaspoon hot red-pepper flakes,redpepper flakes
1 tablespoon grated fresh ginger,ginger
1 teaspoon ground cinnamon,cinnamon
2 teaspoons ground cumin,cumin
2 teaspoons minced garlic,garlic
"3 large onions, sliced thin",onions
2 tablespoons olive oil,olive oil
4 large eggs,eggs
1/2 teaspoon sugar,sugar
Salt to taste if desired,Salt
1 cup cold water,water
1 cup flour plus flour for dusting the baking sheet,flour
"8 tablespoons butter, plus butter for greasing a baking sheet",butter
2 tablespoons Grand Marnier,Grand Marnier
3 tablespoons cornstarch,cornstarch
1/2 cup sugar,sugar
4 egg yolks,egg
1/2 cup heavy cream,cream
1 1/2 cups milk,milk
1/2 teaspoon lemon juice,lemon
1/2 cup cold water,water
3 cups sugar,sugar
"1/2 cup minced cilantro, basil or scallion, optional",cilantro
"1/4 teaspoon cayenne, or to taste",cayenne
Salt to taste,Salt
"1 pound raw shrimp, peeled and diced",shrimp
"1 cup diced tomato (canned are fine; drain well), optional",tomato
1 can (14 ounces) coconut milk,coconut milk
1 cup dry white wine,wine
"1 cup short-grain rice, like arborio",rice
Whole nutmeg,nutmeg
1 tablespoon vegetable oil,vegetable oil
2 cups bourbon,bourbon
4 cups brandy,brandy
1 quart vanilla ice cream or heavy cream,vanilla ice cream
2 quarts whole milk,milk
1 1/2 cups sugar,sugar
Finely chopped parsley,parsley
"Juice of one lemon, preferably a Meyer lemon",lemon
Dash Tabasco,Tabasco
Salt and freshly ground black pepper to taste,Salt black pepper
"1 pint shucked oysters (about 18 oysters), drained",oysters
1/4 cup finely chopped green bell pepper,pepper
1/3 cup finely chopped shallots,shallots
"1/4 cup chopped Serrano or prosciutto ham (about 1 ounce), thinly sliced and minced (Smithfield, or any good country ham, can be substituted)",Serrano
6 slices homemade white bread or Pepperidge Farm sandwich white,bread
"8 tablespoons (1 stick ) butter, plus additional for toast",butter
1/2 teaspoon cayenne or white pepper,cayenne
1 tablespoon of salt,salt
4 cups pecan halves,pecan
"4 tablespoons ( 1/2 stick) butter, melted",butter
1 1/2 cups plus 1 tablespoon sifted flour,flour
1/2 teaspoon cayenne pepper (add a pinch more if you like them a bit hotter),cayenne pepper
1/2 teaspoon salt,salt
"8 ounces deep-yellow, extra-sharp cheddar cheese, grated or finely shredded",cheddar cheese
"8 tablespoons (1 stick) butter, softened",butter
Freshly grated pecorino cheese,pecorino cheese
1 tablespoon finely minced parsley,parsley
Salt and freshly ground black pepper,Salt black pepper
2 tablespoons finely slivered sun-dried tomatoes,tomatoes
1 1/2 cup dry white wine,wine
1 1/2 cup arborio rice,arborio rice
4 1/2 cups well-flavored chicken or vegetable stock,stock
2 cups finely chopped green cabbage,cabbage
1/2 pound Italian sweet sausage,Italian sausage
1/2 cup finely chopped onion,onion
2 tablespoons extra-virgin olive oil,olive oil
Freshly grated Parmesan cheese,Parmesan cheese
Salt and freshly ground black pepper,Salt black pepper
1 tablespoon chopped fresh sage leaves,sage leaves
1 teaspoon sugar,sugar
"1 butternut squash, peeled and cut in 1/2-inch pieces (about 3 cups)",butternut squash
1/2 cup dry white wine,wine
"2 large cloves garlic, minced",garlic
1 1/3 cups arborio rice,arborio rice
1/2 cup finely chopped onion,onion
"2 ounces pancetta, finely minced",pancetta
1 tablespoon extra-virgin olive oil,olive oil
3 1/2 to 4 cups well-flavored chicken stock,chicken
Freshly grated Parmesan cheese,Parmesan cheese
Salt and freshly ground black pepper,salt black pepper
1 teaspoon finely minced fresh thyme,thyme
1/2 cup dry white wine,wine
1 1/3 cups arborio rice,arborio rice
10 ounces coarsely chopped cremini mushrooms,cremini mushrooms
1/2 cup finely chopped onion,onion
3 1/2 to 4 cups well-seasoned chicken stock,chicken
1/2 pound chicken livers,chicken livers
3 tablespoons extra-virgin olive oil,extravirgin olive oil
2 teaspoons sesame oil,sesame oil
"2 to 3 tablespoons chopped fresh cilantro, optional",cilantro
1 tablespoon balsamic vinegar,balsamic vinegar
5 tablespoons pine nuts,pine nuts
"4 large mushrooms, sliced",mushrooms
"2 medium carrots, scraped and sliced 1/4 inch thick",carrots
1 1/2 cups water,water
3/4 cup rice,rice
2 tablespoons dry sherry,Sherry
1 tablespoon reduced-sodium soy sauce,soy
2 tablespoons coarsely grated fresh ginger,ginger
"3 red or yellow peppers, cored and chopped",peppers
"3 medium red onions, chopped",onions
1/4 teaspoon hot sesame oil,sesame oil
"1 pound tender lean lamb, cut in strips",lamb
1 3/4 tablespoons canola or corn oil,oil
1/8 teaspoon nutmeg,nutmeg
Salt and freshly ground black pepper to taste,Salt black pepper
1/4 to Y cup buttermilk,buttermilk
2 tablespoons unsalted butter,butter
"1 pound potatoes, peeled and cut into one-inch cubes",potatoes
"3/4 to 1 pound rutabaga, peeled and cut into 3/4-inch cubes",rutabaga
"2 center-cut salmon fillets, each weighing 8 or 9 ounces",salmon
2 tablespoons balsamic vinegar,balsamic vinegar
2 tablespoons chopped fresh basil,basil
"2 small, ripe plum tomatoes, chopped",plum tomatoes
3/4 cup toasted bread cubes,bread
4 tablespoons chopped walnuts,walnuts
"1 large onion, chopped",onion
2 tablespoons olive oil,olive oil
Generous pinch cayenne,cayenne
"1 teaspoon salt, or to taste",salt
"1 clove garlic, crushed",garlic
1 tablespoon white wine vinegar,wine vinegar
1 tablespoon olive oil,olive oil
8 ounces cleaned squid,squid
"1 tablespoon fines herbes (parsley, tarragon, chives, dill)",herbes
3/4 cup heavy cream,cream
1/4 cup sliced mushrooms,mushrooms
1/4 cup minced shallots,shallots
1/2 cup Champagne,Champagne
"1 egg, lightly beaten",egg
1 cup fish stock,fish
"1 pound frozen puff pastry, thawed enough to be rolled easily",puff pastry
"1 thick-cut salmon fillet, about 1 1/4 pounds",salmon
2 teaspoons fresh lemon juice,lemon
Salt and black pepper,Salt black pepper
"1 tablespoon fresh tarragon, chopped",tarragon
"1/2 cup (1 stick) unsalted butter, softened",butter
3/4 cup (1 1/2 sticks) unsalted butter,butter
1 teaspoon minced fresh ginger,ginger
"2 pompano, about 1 1/4 pound each, filleted",pompano
Salt to taste,Salt
Pinch of cayenne,cayenne
1 large lime,lime
2 egg yolks,egg
2 cloves minced garlic,garlic
1/4 cup mayonnaise,mayonnaise
1 cup fish stock,fish
Salt and freshly ground black pepper,Salt black pepper
6 tablespoons unsalted butter,butter
"1 bulb fresh fennel, including feathery greens",fennel
"3 cloves garlic, peeled",garlic
"1 large monkfish tail, about 2 to 2 1/2 pounds",monkfish tail
6 cups water,water
"3 pounds bones, including heads, from nonoily fish such as sole or flounder",nonoily fish
"1 stalk celery, including top",celery
"1 large carrot, peeled",carrot
"1 large onion, peeled",onion
Fresh lemon juice to taste,lemon
2/3 cup heavy cream,cream
"10 fresh basil leaves, coarsely chopped",bay leaves
Salt and freshly ground white pepper,Salt pepper
1/4 cup Vouvray,Vouvray
6 tablespoons unsalted butter,butter
6 mushrooms,mushrooms
"1/4 of a small celeriac (celery root), peeled",celeriac
"1 small leek, white only, washed well",leek
"1 small carrot, peeled",carrot
12 bay scallops,bay scallops
1 1/3 pounds gray sole or flounder fillets,gray sole
"2 cups fish stock (<a href=""http://cooking.nytimes.com/recipes/1665-fish-stock"">see recipe</a>)",fish
Salt and freshly ground black pepper,Salt black pepper
2 cups heavy cream,cream
8 ounces frozen shoepeg corn kernels,corn kernels
"6 live lobsters, 1 1/4 pounds each",live lobsters
"2 medium leeks, white and light-green parts only, in 1/4-inch dice",leeks
"2 1/2 pounds (about 5 medium) russet potatoes, peeled, quartered lengthwise, and sliced",russet potatoes
4 tablespoons unsalted butter,butter
3 ounces slab bacon in 1/4-inch dice,slab bacon
1 lemon,lemon
Chopped fresh parsley leaves for garnish,parsley leaves
2 cups dry white wine or water,wine
"1 1/2 pounds waxy potatoes, peeled and cut into chunks",waxy potatoes
"4 medium carrots, peeled and roughly chopped",carrots
"4 stalks celery, roughly chopped",celery
"1 large onion, cut into chunks",onion
"6 cloves garlic, lightly crushed",garlic
Salt and pepper to taste,Salt pepper
3 or 4 thyme sprigs,thyme
"4 lamb shanks, roughly a pound each",lamb shanks
3 tablespoons extra virgin olive oil,extravirgin olive oil
2 tablespoons melted butter or margarine,butter
1 tablespoon dried oregano,oregano
1/2 teaspoon salt,salt
"1 1/2 cups Mediterranean green olives, pitted and chopped",olives
1 1/4 cups lukewarm water,water
"1 1/2 cups Mediterranean black olives, pitted and chopped",black olives
1 package dry yeast,yeast
5 cups all-purpose flour plus 2 teaspoons flour for sprinkling,flour
"2 tablespoons flat parsley with stems, diced",parsley
Juice of 1/2 lemon,lemon
